index,Days,Cumulative mortaility (%),Dilutions of Brine
0,0,0.0,Control (34.0 g/L)
1,1,0.0,Control (34.0 g/L)
2,2,0.0,Control (34.0 g/L)
3,3,0.0,Control (34.0 g/L)
4,4,0.0,Control (34.0 g/L)
5,5,0.0,Control (34.0 g/L)
6,6,0.0,Control (34.0 g/L)
7,7,0.0,Control (34.0 g/L)
8,8,0.0,Control (34.0 g/L)
9,9,0.0,Control (34.0 g/L)
10,10,0.0,Control (34.0 g/L)
11,11,0.0,Control (34.0 g/L)
12,12,3.3333,Control (34.0 g/L)
13,13,3.3333,Control (34.0 g/L)
14,14,3.3333,Control (34.0 g/L)
15,15,3.3333,Control (34.0 g/L)
16,16,3.3333,Control (34.0 g/L)
17,17,3.3333,Control (34.0 g/L)
18,18,3.3333,Control (34.0 g/L)
19,19,3.3333,Control (34.0 g/L)
20,20,3.3333,Control (34.0 g/L)
21,21,3.3333,Control (34.0 g/L)
22,22,3.3333,Control (34.0 g/L)
23,23,3.3333,Control (34.0 g/L)
24,24,3.3333,Control (34.0 g/L)
25,25,3.3333,Control (34.0 g/L)
26,26,3.3333,Control (34.0 g/L)
27,27,3.3333,Control (34.0 g/L)
28,28,3.3333,Control (34.0 g/L)
0,0,0.0,36.4 g/L
1,1,0.0,36.4 g/L
2,2,3.3333,36.4 g/L
3,3,3.3333,36.4 g/L
4,4,3.3333,36.4 g/L
5,5,3.3333,36.4 g/L
6,6,3.3333,36.4 g/L
7,7,3.3333,36.4 g/L
8,8,3.3333,36.4 g/L
9,9,3.3333,36.4 g/L
10,10,3.3333,36.4 g/L
11,11,3.3333,36.4 g/L
12,12,3.3333,36.4 g/L
13,13,3.3333,36.4 g/L
14,14,3.3333,36.4 g/L
15,15,3.3333,36.4 g/L
16,16,3.3333,36.4 g/L
17,17,3.3333,36.4 g/L
18,18,3.3333,36.4 g/L
19,19,3.3333,36.4 g/L
20,20,3.3333,36.4 g/L
21,21,3.3333,36.4 g/L
22,22,3.3333,36.4 g/L
23,23,3.3333,36.4 g/L
24,24,3.3333,36.4 g/L
25,25,3.3333,36.4 g/L
26,26,3.3333,36.4 g/L
27,27,3.3333,36.4 g/L
28,28,3.3333,36.4 g/L
0,0,0.0,45.8 g/L
1,1,0.0,45.8 g/L
2,2,0.0,45.8 g/L
3,3,0.0,45.8 g/L
4,4,3.3333,45.8 g/L
5,5,3.3333,45.8 g/L
6,6,3.3333,45.8 g/L
7,7,3.3333,45.8 g/L
8,8,3.3333,45.8 g/L
9,9,3.3333,45.8 g/L
10,10,3.3333,45.8 g/L
11,11,3.3333,45.8 g/L
12,12,3.3333,45.8 g/L
13,13,6.6667,45.8 g/L
14,14,10.0,45.8 g/L
15,15,10.0,45.8 g/L
16,16,10.0,45.8 g/L
17,17,10.0,45.8 g/L
18,18,10.0,45.8 g/L
19,19,10.0,45.8 g/L
20,20,10.0,45.8 g/L
21,21,10.0,45.8 g/L
22,22,10.0,45.8 g/L
23,23,10.0,45.8 g/L
24,24,10.0,45.8 g/L
25,25,10.0,45.8 g/L
26,26,10.0,45.8 g/L
27,27,10.0,45.8 g/L
28,28,10.0,45.8 g/L
0,0,0.0,51.8 g/L
1,1,3.3333,51.8 g/L
2,2,10.0,51.8 g/L
3,3,13.3333,51.8 g/L
4,4,13.3333,51.8 g/L
5,5,16.6667,51.8 g/L
6,6,23.3333,51.8 g/L
7,7,23.3333,51.8 g/L
8,8,23.3333,51.8 g/L
9,9,23.3333,51.8 g/L
10,10,26.6667,51.8 g/L
11,11,26.6667,51.8 g/L
12,12,26.6667,51.8 g/L
13,13,30.0,51.8 g/L
14,14,33.3333,51.8 g/L
15,15,33.3333,51.8 g/L
16,16,50.0,51.8 g/L
17,17,60.0,51.8 g/L
18,18,63.3333,51.8 g/L
19,19,63.3333,51.8 g/L
20,20,63.3333,51.8 g/L
21,21,73.3333,51.8 g/L
22,22,73.3333,51.8 g/L
23,23,73.3333,51.8 g/L
24,24,73.3333,51.8 g/L
25,25,73.3333,51.8 g/L
26,26,73.3333,51.8 g/L
27,27,73.3333,51.8 g/L
28,28,73.3333,51.8 g/L
0,0,0.0,57.7 g/L
1,1,46.6667,57.7 g/L
2,2,100.0,57.7 g/L
3,3,100.0,57.7 g/L
4,4,100.0,57.7 g/L
5,5,100.0,57.7 g/L
6,6,100.0,57.7 g/L
7,7,100.0,57.7 g/L
8,8,100.0,57.7 g/L
9,9,100.0,57.7 g/L
10,10,100.0,57.7 g/L
11,11,100.0,57.7 g/L
12,12,100.0,57.7 g/L
13,13,100.0,57.7 g/L
14,14,100.0,57.7 g/L
15,15,100.0,57.7 g/L
16,16,100.0,57.7 g/L
17,17,100.0,57.7 g/L
18,18,100.0,57.7 g/L
19,19,100.0,57.7 g/L
20,20,100.0,57.7 g/L
21,21,100.0,57.7 g/L
22,22,100.0,57.7 g/L
23,23,100.0,57.7 g/L
24,24,100.0,57.7 g/L
25,25,100.0,57.7 g/L
26,26,100.0,57.7 g/L
27,27,100.0,57.7 g/L
28,28,100.0,57.7 g/L
