Salinity,Replica1,Replica2,Replica3
34.0,0,0,0
36.4,0,0,10
45.8,0,0,10
51.8,10,20,10
57.7,100,100,100
58.0,100,100,100
58.8,100,100,100
59.4,100,100,100
